SampleID,Tissue,Factor,Condition,Replicate,bamReads,bamControl,Peaks
CES_BK,blood,H3K9ac,WT,1,CES_BK_H3K9ac.sorted.bam,CES_BK_H3.sorted.bam,CES_BK_H3K9ac_macs_peaks.raw.bed
CES_DT,blood,H3K9ac,WT,1,CES_DT_H3K9ac.sorted.bam,CES_DT_H3.sorted.bam,CES_DT_H3K9ac_macs_peaks.raw.bed
CES_EM,blood,H3K9ac,WT,1,CES_EM_H3K9ac.sorted.bam,CES_EM_H3.sorted.bam,CES_EM_H3K9ac_macs_peaks.raw.bed
CES_VL,blood,H3K9ac,WT,1,CES_VL_H3K9ac.sorted.bam,CES_VL_H3.sorted.bam,CES_VL_H3K9ac_macs_peaks.raw.bed
CES_WS,blood,H3K9ac,WT,1,CES_WS_H3K9ac.sorted.bam,CES_WS_H3.sorted.bam,CES_WS_H3K9ac_macs_peaks.raw.bed
CES_YF,blood,H3K9ac,WT,1,CES_YF_H3K9ac.sorted.bam,CES_YF_H3.sorted.bam,CES_YF_H3K9ac_macs_peaks.raw.bed
CES_HA,blood,H3K9ac,MT,1,CES_HA_H3K9ac.sorted.bam,CES_HA_H3.sorted.bam,CES_HA_H3K9ac_macs_peaks.raw.bed
CES_IO,blood,H3K9ac,MT,1,CES_IO_H3K9ac.sorted.bam,CES_IO_H3.sorted.bam,CES_IO_H3K9ac_macs_peaks.raw.bed
CES_LM,blood,H3K9ac,MT,1,CES_LM_H3K9ac.sorted.bam,CES_LM_H3.sorted.bam,CES_LM_H3K9ac_macs_peaks.raw.bed
CES_NQ,blood,H3K9ac,MT,1,CES_NQ_H3K9ac.sorted.bam,CES_NQ_H3.sorted.bam,CES_NQ_H3K9ac_macs_peaks.raw.bed
CES_OZ,blood,H3K9ac,MT,1,CES_OZ_H3K9ac.sorted.bam,CES_OZ_H3.sorted.bam,CES_OZ_H3K9ac_macs_peaks.raw.bed
CES_PP,blood,H3K9ac,MT,1,CES_PP_H3K9ac.sorted.bam,CES_PP_H3.sorted.bam,CES_PP_H3K9ac_macs_peaks.raw.bed
CES_QP,blood,H3K9ac,MT,1,CES_QP_H3K9ac.sorted.bam,CES_QP_H3.sorted.bam,CES_QP_H3K9ac_macs_peaks.raw.bed
CES_RP,blood,H3K9ac,MT,1,CES_RP_H3K9ac.sorted.bam,CES_RP_H3.sorted.bam,CES_RP_H3K9ac_macs_peaks.raw.bed
CES_TB,blood,H3K9ac,MT,1,CES_TB_H3K9ac.sorted.bam,CES_TB_H3.sorted.bam,CES_TB_H3K9ac_macs_peaks.raw.bed
CES_TH,blood,H3K9ac,MT,1,CES_TH_H3K9ac.sorted.bam,CES_TH_H3.sorted.bam,CES_TH_H3K9ac_macs_peaks.raw.bed
CES_XP,blood,H3K9ac,MT,1,CES_XP_H3K9ac.sorted.bam,CES_XP_H3.sorted.bam,CES_XP_H3K9ac_macs_peaks.raw.bed
CES_ZV,blood,H3K9ac,MT,1,CES_ZV_H3K9ac.sorted.bam,CES_ZV_H3.sorted.bam,CES_ZV_H3K9ac_macs_peaks.raw.bed
